iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
789	223	270	223	340	223	270	340
790	223	270	223	340	223	270	340
791	223	270	223	340	223	270	340
792	223	270	223	340	223	270	340
793	223	270	223	340	223	270	340
794	223	270	223	340	223	270	340
795	223	270	223	340	223	270	340
796	223	270	223	340	223	270	340
797	223	269	223	340	223	269	340
798	223	269	223	340	223	269	340
799	223	269	223	340	223	269	340
800	223	269	223	340	223	269	340
801	223	269	223	340	223	269	340
802	223	269	223	340	223	269	340
803	223	269	223	340	223	269	340
804	223	269	223	340	223	269	340
805	223	269	223	340	223	269	340
806	223	269	223	340	223	269	340
807	223	270	223	340	223	270	340
808	223	270	223	340	223	270	340
809	223	270	223	340	223	270	340
810	223	269	223	340	223	269	340
811	223	269	223	340	223	269	340
812	223	269	223	340	223	269	340
813	223	269	223	340	223	269	340
814	223	269	223	340	223	269	340
815	223	269	223	340	223	269	340
816	223	269	223	340	223	269	340
817	223	269	223	340	223	269	340
818	223	269	223	340	223	269	340
819	223	269	223	340	223	269	340
820	223	269	223	340	223	269	340
821	223	269	223	340	223	269	340
822	223	269	223	340	223	269	340
823	223	269	223	340	223	269	340
824	223	269	223	340	223	269	340
825	223	269	223	340	223	269	340
826	223	269	223	340	223	269	340
827	223	269	223	340	223	269	340
828	223	269	223	340	223	269	340
829	223	269	223	340	223	269	340
830	223	269	223	340	223	269	340
831	223	269	223	340	223	269	340
832	223	269	223	340	223	269	340
833	223	269	223	340	223	269	340
834	223	269	223	340	223	269	340
835	223	269	223	340	223	269	340
836	223	269	223	340	223	269	340
837	223	269	223	340	223	269	340
838	223	269	223	340	223	269	340
839	223	269	223	340	223	269	340
840	223	269	223	340	223	269	340
841	223	269	223	340	223	269	340
842	223	269	223	340	223	269	340
843	223	269	223	340	223	269	340
844	223	269	223	340	223	269	340
845	223	269	223	340	223	269	340
846	223	269	223	340	223	269	340
847	223	269	223	340	223	269	340
848	223	269	223	340	223	269	340
849	223	269	223	340	223	269	340
850	223	269	223	340	223	269	340
851	223	269	223	340	223	269	340
852	223	269	223	340	223	269	340
853	223	269	223	340	223	269	340
854	223	269	223	340	223	269	340
855	223	269	223	340	223	269	340
856	223	269	223	340	223	269	340
857	223	269	223	340	223	269	340
858	223	269	223	340	223	269	340
